yo_mt_review	sentiment
Opera ọṣẹ ọṣẹ ti n ṣipaya lodisi ẹhin ti ẹkọ itan-iṣọra kan ti n ran wa leti pe ni Naijiria, bi awọn nkan ṣe n yipada diẹ sii ni wọn maa n ya were.	positive
Iye nla ti iṣẹ ati ayewo lọ sinu ṣiṣe eyi. Iru ohun nla iye, awọn oniwe-didara dúró jade awọn iṣọrọ ati brazenly. Iye lasan ti ododo jẹ iyalẹnu lasan.	positive
Awọn eniyan Abule mi jẹ fiimu kan ti yoo jẹ ki o padanu ikẹkọ ile rẹ lakoko wiwo rẹ. Sugbon o jẹ a ona ti ona. Nollywood ni gbogbogbo ko ti ṣe iṣẹ to dara lati jẹ ki ibalopọ eleri ati iwunilori. Awọn eniyan Abule mi ṣaṣeyọri rẹ lainidi, ati pe o yẹ iye iyin lọpọlọpọ.	positive
"“Itan naa kii ṣe nkan ti a ko tii ri tẹlẹ bikòṣe pe a sọ rẹ̀ lati oju-iwoye Naijiria, ẹrinrin rẹ̀, alailaanu ati ifọrọwerọ naa dara nigba ti a ba fiwera pẹlu awọn miiran ti o wa ni ọja Naijiria.  Mo gbadun fiimu naa patapata, dajudaju Emi yoo ṣeduro (fun awọn eniyan Naija mi!)."""	positive
Odun 1980, ibaka oogun, awon obinrin dudu to dara... Mo wa l’orun	positive
“Otitọ ṣugbọn o lọra pacing ati aladun pupọ.  Iṣe iṣe ti o dara, da lori awọn iṣẹlẹ otitọ ati itan ti o tọ. Pacing naa lọra diẹ fun ifẹ mi ati pe diẹ ninu awọn iwoye kan lero bi fiimu ti a ṣe-fun-TV (orin warankasi ati iṣere lori).  Iwoye gbogbogbo ti o ba mọ kini o n wọle ṣaaju akoko. ”	positive
Atunse.  O ṣeun fun eyi. Emi ni impressed pẹlu rẹ. Ṣugbọn emi Nelson Orah ṣe iṣe Ahmed, kii ṣe Umar. Emi yoo riri ti o ba ti wa ni atunse.	positive
O jẹ 'Super Fantastic! O fẹ lati wo fiimu yii. Fiimu yii jẹ igbadun lọpọlọpọ. Adun Nollywood funfun.	positive
Inu mi dun lẹhin wiwo fiimu naa, ohun gbogbo wa lori aaye. Mo ti wà paapa impressed pẹlu awọn didara ti awọn simẹnti ati atuko. Oludari, Kemi Adetiba ṣe iṣẹ nla kan, inu mi dun si i. Mo ti ṣeduro rẹ si ọpọlọpọ eniyan. Mo nireti lati wo diẹ sii ti iṣẹ rẹ.	positive
Genevieve Nnaji fi ontẹ ẹsẹ rẹ ni pato ni pantheon ti awọn oludari onigbagbo. O ko ni ibanujẹ ninu iṣafihan akọkọ rẹ, Lion Heart. O jẹ dandan lati wo, bi o ṣe n kede ibimọ Nollywood agbaye kan.	positive
Nollywood ni awọn oniwe-tente!!!!  Fiimu yii sọ itan kan nipa aṣa, isokan ati ẹbi. Ọpọlọpọ awọn akori ti Emi ko le pari darukọ.	positive
Fiimu ti o dara ati ọlọgbọn. O jẹ fiimu ti o dara, ti o fihan awọn ewu ti ẹya Naijiria ati bi o ṣe le ni ipa lori ifẹ ọdọ.	positive
fiimu yii jẹ ẹbun ti o dara ni oriṣi.	positive
Nifẹ Movie yii  O yà mi gaan lati ka awọn atunyẹwo odi fun fiimu yii. Njẹ a mọ nitõtọ kini fiimu ti o dara jẹ? Fiimu yii dara gaan, igbadun pupọ. Awọn ohun kikọ ti o ni idagbasoke daradara, igbagbọ ati laini itan ibatan. Ati awọn didara, ikọja. Daradara ṣe buruku. Ni ife ti o ani diẹ sii ju igbeyawo party 1 ati 2. Emi ko adehun ni gbogbo.	positive
Ri Premieré ni Houston Texas  Fiimu yii yẹ ki o gba Aami Eye Oscar kan. Awọn Storyline jẹ ki o dara. Gbogbo awọn oṣere naa jẹ iyalẹnu.”	positive
Enikeni ti o ba feran aworan, Ta ti o ri apakan kinni yoo mọ ero-ọrọ ati itan-akọọlẹ ti tẹlẹ ti kọ dEré ati pe eyi jẹ atẹle.	positive
Abajade nla.	positive
