category	headline	text
business	Chizvarwa cheZimbabwe Chiri muAmerica, VaNdenda, Vobata Pamwe neMasangano Akawanda muKusimudzira Vechidiki neNharaunda kuZimbabwe	Muchirongwa chedu chatinotarisa zviri kuitwa nevana veZimbabwe vari kunze kwenyika, svondo rino tine hurukuro naVaInnocent Ndenda vari mudunhu reTexas muAmerica asi vachibva kuHwedza mudunhu reMashonaland East. VaNdenda, avo vakaenda kuAmerica muna 2016, vanoti kunyange hazvo vachishanda samaneja pane imwe kambani kwakare kuTexas, vakaramba vachienderera mberi nemabasa avo avaiita vachiri kumusha, ekubatsira vanoshaya pamwe nekusimudzira nharaunda yavanobva. Pari zvino vanoti vari kushanda nemasangano matatu anoti reMubatirapamwe Trust, iro rinobatsira vanenge vachishandisa zvinodhaka, reMakoni North District Association, rakanangana nenyaya dzebudiriro, pamwe nereGlobal Exchange Program, iro rinobatanidza vanhu vanobva kunyika dzakasiyanasiyana. VaNdenda vanoti shuviro yavo ndeyekuona vana veZimbabwe vachiisa misoro pamwe vosiyana nehumbimbindoga, vachiti chose chinezwi rekuti kubatana chinobudirira. Vanoti ivowo vane shuviro yekuti vange vachizorangarirwawo mune remangwana semunhu akabatsira mukushanda nevamwe kubatanidza vanhu kuti vavandudze magariro avo. No media source currently available 
business	Mutungamiri weNamibia, VaHage Geingob, Vanovhura ZITF Vachikurudzira Kudyidzana kweZimbabwe neNamibia	"Mutungamiri weNamibia, VaHage Geingob, vanoti kudyidzana pakati peNamibia neZimbabwe munyaya dzemabhizimisi kwakaderera vachiti kudyidzana uku kunofanirwa kukwira. Vachivhura ZITF yegore rino zviri pamutemo, VaGeingob vati mugore rapfuura Namibia yakatenga kubva kuZimbabwe zvinhu zvemari inosvika mamiriyoni makumi maviri nemana emadhora. Vati kudyidzana pakati peNamibia neZimbabwe uye pakati penyika dzemuAfrica kunofanirwa kukwira vachiti kuita izvi kunobatsirawo kusimudzira hupfumi henyika idzi. VaGeingob vati Namibia ichiri yakatarisana nedambudziko munyaya yekugovewa kweivhu vakati nyika yavo inogona kudzidza zvakawanda kubva mukugadziriswa kwakaitwa nyaya iyi muZimbabwe vachiti kugadzirisa nyaya iyi kunobatsira kurwisa hurombo hune veruzhinji. Vati hurmende yavo yakatanga chirongwa chavakati ""Harambe"" senzira yekurwisa hurombo uye kusimudzira hupenyu hweveruzhinji munyika mavo. VaGeingob vati vemakambani vanofanirwa kuita zvemabhizimisi vasina kungonangana nekuwana mari chete, asi kubatsirawo kurwisa hurombo. Vasati vatura mashoko avo, VaGeingob vamboshanyira nzvimbo dzakasiyana-siyana muZITF pamwe nemutungamiri wenyika, VaRobert Mugabe, vachiona zviri kuratidzwa pachirongwa ichi. Nyika gumi neina chete ndidzo dzange dziine makambani adzo achiratidza zvigadzirwa paZITF yegore rino. No media source currently available "
business	Zimbabwe Inonyorerana Chibvumirano neKambani yeKunze Kuti Ishambadze Marasha	Hurumende yanyorerana chibvumirano neimwe kambani yekunze kwenyika kuitira kuti ibatsirwe mukutengesa marasha kunyika dzakaita seIndia neJapan. Vachitaura pakunyoreranwa kwechibvumirano ichi ne Victoria Consulting, gurukota rinoona nezvezvicherwa, VaWinston Chitando, vati donzvo rehurumende nderekuti nyika iwanirwe kwekutengesera marasha kuIndia uye kuitira kuti iwane mari yekushandisa mukuchera marasha aya. VaChitando vati Zimbabwe inofungidzirwa kuti ine marasha anosvika mabhiriyoni makumi maviri nemashanu ematani asi pagore kuri kucherwa matani ari pakati pemamiriyoni maviri nemamiriyoni matatu. VaChitando vatiwo India ndiyo inotenga marasha akawanda pagore zvichienzaniswa nedzimwe nyika. Vachitaura pamusangano mumweyo, mutungamiriri wenyika, VaEmmerson Mnangagwa, vati Zimbabwe inofanirwa kutora mukana wekudyidzana wakanaka uripo pakati payo neIndia. Studio7 haina kukwanisa kuziva kuti kambani yeVictoria Consulting yakamboshanda nenyika dzipi, uye kuti vakuru vayo ndivanani. Asi vaimbove mutevedzeri wegurukota rezvezvicherwa muhurumende yemubatanidzwa, VaGift Chimanikire, vati havaoni kuti zvakanaka kuti Zimbabwe itsvage misika yekutengesera marasha kunze kwenyika, ipo pari zvino kusiri kucherwa marasha anokwana munyika. Nyanzvi mune zvehupfumi, VaNyasha Muchichwa, vatiwo havaoni zvakakosha kuti Zimbabwe itsvake kambani yekunze inonotsvakira Zimbabwe misika yemarasha. VaMuchichwa vatiwo zviri nani kuti kushandiswe hukama hwagara huripo nedzimwe nyika. Dandemudande rebazi rezvezvicherwa rinoti Zimbabwe ine marasha akanaka, uye ine nzvimbo makumi maviri nepfumbamwe dzine marasha. Makambani maviri chete munyika, Hwange Colliery neMakomo Resources, ndiwo ari kunyanyochera marasha. No media source currently available 
business	VaMasaraure Vanoti Havasi Kuzorega Kurwira Mihoro Yakakwana yeVarairidzi	Mutungamiriri wesangano rinomiririra varairidzi vekumaruwa, reAmalgamated Rural Teachers Union of Zimbabwe, VaObert Masaraure, avo vakapambwa nevanhu vatanhatu pakati pehusiku, vanoti vakarohwa zvakaipisisa, uye vakatorerwa mbatya dzavainge vakapfeka. VaMasaraure vanoti vakakuvadzwa mumusoro, kumusana, maoko nemakumbo, vachiti vamwe vevanhu vakavapamba ndevamwe vechikwata chakambovapamba muna Ndira gore rino, vachiti izvi hazvisi kuzovadzorerwa sure mukurwira kodzero dzevarairiridzi. VaMasaraure vanoti hurumende yave kutora vanorwira kodzero dzevashandi sevavengi vachiti hapana anoda kupidigura hurumende asi kuti vanhu vanoda kuti vakwanise kuriritira mhuri dzavo. VaMasaraure vaudza Studio7 kuti vaudzwa navana chiremba kuti vambozorora kuenda kubasa. Hatina kukwanisa kubata mutauriri wemapurisa, VaPaul Nyathi, kuti tinzwe pamire hurumende panyaya yekupambwa kwava Masaraure sezvo vanga vasingadaire nharembozha yavo. No media source currently available 
business	Rimwe Sangano reVarimi Rotsigira Hurongwa hweKubhadhara Vachena Vakatorerwa Minda	Rimwe sangano revarimi reZimbabwe Farmers Union (ZFU), rinoti rinotambira nemufaro hurongwa hwehurumende hwekuti varimi vatema vari mumapurazi akatorerwa vachena vabhadhare mitero ichashandiswa mukuripa vachena ava budiriro dzavakanga vaita pamapurazi avo. Mukuru weZFU, VaPaul Zakariya vanoti kubhadhara zvivakwa nebudiriro zvakasiya zvaitwa nevachena ava kunopa varimi vechitema ava chiremera chekuti vakabhadhara zvavari kushandisa, kwete kuti vakaita zvekubvuta. “Handiona sekuti chingave chinhu chingaremera vanhu kuti vave ne ownership yakadzika pamusoro peminda yavanenge vachishandisa. Idanho rinokwanisa kuti ritipe chiremera munharaunda yatinogara uyewo nepasi rose kuti vakanga varipo paminda iyoyo vakabhadharwa,” VaZakariya vanodaro. VaZakariya vanoti kubhadhara kwavari kuita mari idzi kuburikidza nemitero iri kubhadhariswa varimi vakagariswa patsva ava hakusi kuti vari kutenga ivhu ravari kurima kwete. “Varimiri vanenge vachibhadhara zvivakwa nebudiriro dzakaitwa nevachena ava, kwete kuti tiri kutenga ivhu redu, kwete.” Mukutanga kwemwedzi uno gurukota rezveupfumi VaPatrick Chinamasa vakazivisa kuti hurumende yakanga yave kutanga kuita ongororo mumapurazi kuti ione kukosha kwakaita budiriro dzakasiiwa nevachena vakatorerwa mapurazi ava. Vakati izvi ndizvo zvinozovapa ruzivo rwekuti murimi oga oga obhadhara marii, uye murimi wechichena akabviswa papurazi apa anozopiwawo marii. Kutanga muna 2000, vachena vanodarika zviuru zvina vanonzi vakabviswa zvine chisimba pamapurazi avo achipiwa kune vatema, asi minda mizhinji yakararira nekuda kwekushaiwa zvikwanisiro kwevarimi vatsva ava. No media source currently available 
business	Doctor Manyika veBuild Zimbabwe Vokurudzira Kuti Vanhu Vasakanganwa Kwavakabva	"Chimwe chizvarwa cheZimbabwe, Doctor Noah Manyika vanogara kuCharlotte, kuNorth Carolina muAmerica vari kuita zvakawanda kukurudzira vana veZimbabwe, vangave kumusha kana kunze kwenyika, kuti vavake nyika yechipikirwa. Doctor Manyika vanoshanda nesangano reBuild Zimbabwe, iro vakavamba vaine chinangwa chekuti vabatsire vana nezvipfeko, mabhuku pamwe nevirongwa zvinorodza pfungwa. Asi vanoti vakazorivhurirawo kune vamwe vana veZimbabwe kuti vaite mubata pamwe semajuru mukuumba nyika. ""Build Zimbabwe chirongwa chandaiita makore gumi nemashanu adarika nechinangwa chekuti Zimbabwe ibudirire kana munhu wese akawana chaanoita mukuvaka nyika. Asi ndakazoti, kwete, kwete, regai ndidaidzed vamwe vana veZimbabwe tivake tiri pamwechete,"" vanodaro Doctor Manyika. Vanoti sangano ravo iri rine zvirongwa zvakawanda zvariri kuita mumatunhu akasiyanasiyana enyika, zvinosanganisira kuvaka dzimba dzine mitengo yepasi mumaguta ari munyika senzira yekubatsira vanhu vakawanda kuti vawane pekugara pakakodzera. No media source currently available "
business	Hurumende Inokurudzirwa Kutsigira, Kusimbaradza Mari Itsva	"Bhanga guru renyika, reReserve Bank of Zimbabwe, razivisa kuti richadhinda mari itsva ichange ichishandiswa mumabhanga serimwe rematanho ariri kutora mukugadzirisa nyaya yekushomeka kwemari munyika, pamwe nekugadzirisa zvinhu mumabhanga nemisika yemari munyika. Muzvinafundo Elliot Masocha, vanodzidzisa zvemabhizimusi paDevry University ku Ohio, vanoti vanhu vanoda mari yavanoshandisa, naizvozvo danho ratorwa neReserve Bank of Zimbabwe idanho rakanaka kana hurumende ikatevedzera mitemo nemirairo yezvehupfumi hwenyika inotevedzwa nenyika dzepasi pose, kwete zvokuzoramba ichidhinda mari pavanenge vazvifunga. Muzvinafundo Masocha vati hurumende inofanirwa kuratidza vanhu kuti inovimbika kwete kudhinda mari nguva dzese zvinozokonzera kuti mari yacho ishaye huremerera. ""Vanhu vanoda kuona mari yavo mumavoko kwete kuudzwa kuti iri mukati mefoni yavanoshandisa, saka kana hurumende ikaunza mari iyi vanhu vangafara nekuti zvema RTGS hazvisi zvinovafadza. Asi hurumende inosungirwavo kuchengetedza chiremera chemari iyi nekurega zvekuzodhindadhinda mari sezvayaimboita makore apfuura,"" Professor Masocha vaudza Studio 7. No media source currently available "
business	Sangano reProudly263 Global Robatsira Vana veZimbabwe Vari Kunze Kutanga Mabhizimusi	Sangano reProudly263 Global, iro rakaumbwa nezvimwe zvizvarwa zveZimbabwe zviri muSouth Africa mushure mekunge zvaona kuoma kwakaita kutanga mabhizimusi kana usiri chizvarwa chenyika iyi, riri kubatsira zvizvarwa zveZimbabwe zviri kunze kwenyika pamwe nezviri munyika nemikana yekutanga mabhizimusi azvo zvega. Vakavamba sangano iri uye vari ivo CEO veProudly263 Global, VaStanley Makwara, vanoti vakaonawo kubatana kwezvimwe zvizvarwa zvekune dzimwe nyika zviri muSouth Africa, uye kutsigirana kwazvinoita mune zvemabhizimusi, izvo zvakaita kuti vati kana vana veZimbabwe vanozvigonawo. VaMakwara vanoti chinangwa chesangano ravo, iro rave nenhengo dzinodarika zviuru zvitatu, ndechekusimudzira mabhizimusi nemagariro evanhu kuburikidza nekubatana vachizivana. Vanotiwo seProudly263 Global, vakaumbawo bhanga rinonzi Hello Sahwira Mhlobo (HSM Bank), rinove remubatanidzwa wezvizvarwa zveZimbabwe zviri muSouth Africa, mushure mekuona kunetsa kwazvinoita kuti munhu ange achikwanisa kukwereteswa mari nemabhanga emo yekuti atange bhizimusi. VaMakwara vanoti bhanga ravo rinokurudzira kuchengetedza mari uye rinowanisa nhengo dzaro zvikwereti zvine mutengo wakaderera kudarika kumamwe mabhanga. Vanoti remangwana resangano ravo rakajeka zvekuti vanoona vana veZimbabwe vari kunze vachikwanisa kuvaka upfumi hweZimbabwe ivo vari kunyika dzavagere. No media source currently available 
business	Zimbabwe neGermany Dzoronga Kuumba Komisheni Inoona nezveKusimbaradza Hukama	Gurukota rezvemari, VaPatrick Chinamasa, vakasangana neChipiri negurukota rekuGermany rinoona nezvekudyidzana munyaya dzehupfumi pamwe nebudiriro, VaGerd Muller, vakabvumirana kuumba komisheni ichaone nezvekusimbaradza hukama nekudyidzana pakati penyika mbiri idzi. Vachitaura nevatori venhau mushure memusangano wavo, VaChinamasa vakati vafara kushanyirwa naVaMuller. Vakati vatura nyaya dzakawanda dzinosanganisira kudyidzana kwenyika mbiri idzi, chikwereti cheZimbabwe kuGermany, zvirango zvehupfumi pamwe nekuti Zimbabwe itange zvekare kuwana rutsigiro rwemari nehunyanzvi kubva kuGermany. Vakatiwo vakazeya zvimwe zvingaitwe neZimbabwe kuti ikwanise kubhadhara zvikwereti zvayo kune dzimwe nyika nemasangano epasi rose pamwe nekuti igadziridze hukama hwayo nenyika dzepasi rose. VaChinaamasa vakati vakabvumiranawo kushanda pamwe chete panyaya yekudzidzisa vanhu zvidzidzo zvemabasa emaoko kana kuti vocational training nechinangwa chekuti vanhu vakwanise kuzvishandira pamwe nekupinza vamwe mabasa. Zimbabwe yakatarirwa zvirango zvehupfumi nenyika dzekumavirira dzakaita seAmerica, Australia nenyika dzekuEurope nekuda kwehutongi hwehudzvanyiriri, kutyora kodzeo dzevanhu pamwe nekuita sarudzo dzisina kujeka. VaMuller vakati vakafara kuuya kuZimbabwe mushure mekunge Zimbabwe yagadza mutungamiriri mutsva zvichitevera sarudzo dzemwedzi wapfuura idzo dzakazosimbiswawo nedare repamusororo munyika. Vakati zvakakosha kuti mutungamiriri wenyika, VaEmmerson Mnangagwa, vaite zvakavimbisa kuita zvekuremekedza kodzero dzevanhu kusanganisira mapato anopikisa pamwe nekuremekedza nekutevedza mitongo yematare edzimhosva. VaMuller vakati Germany nedunhu rese reEurope vanoda runyaro muZimbabwe ndosaka vachida kuti VaMnangagwa vaite zvavakavimbisa. Vakatiwo Germany inoda kuona hupenyu nehupfumi hwevanhu vekumaruwa huchisimudzirwa ndosaka iri kuda kushanda neZimbabwe mukusimudzira ruzivo rwevanhu pamabasa emaoko. Vakatiwo Joint Commission yavachaumba neZimbabwe ichazeya zvese zvingaitwe uye kuti Germany ingabatsirei sei vanhu vemuZimbabwe kuti vabudirire. Zvichakadai, nyanzvi munyaya dzemitemo dzinoti kunyange hazvo makurukota aVaMnangagwa ari kuramba achiita basa rawo, ari kuita izvi zviri kunze kwemutemo sezvo mutemo uchiti zvigaro zvavo zvinopera panogadzwa mutungamiri wenyika mushure mesarudzopapera. Izvi zviri mubumbiro remitemo yenyika pasi paSection 108 (1) (c). VaMnangagwa vakagadzwa kuve mutungamiriri wenyika nesvondo uye havasati vadoma dare remakurukota avo. No media source currently available 
business	Dunhu reGauteng Roronga Kudzika Mitemo Inosarura Vabvakure	Mukuru wedunhu reGauteng muJohannesburg, VaDavid Makhura, vakazivisa neChipiri kuti nekufamba kwenguva, dunhu ravo richadzika mutemo unorambidza vekune dzimwe nyika kutanga mabhizimisi mudunhu ravo, sezvo izvi zviri kutadzisa zvizvarwa zvemuSouth Africa, kuti zviwanewo chekubata. VaMakhura vakataura mashoko aya mudare ravo redunhu, apo vakange vachipindura mibvunzo yaibva kune dzimwe nhengo dzedare ravo. Vanoona nezvekodzero dzavanhu vanoti mashoko akataurwa naVaMakhura anokonzeresa kuti pave neruvengo pakati pevanobva kunze kwenyika nezvizvarwa zvemuSouth Africa. Mumwe muzvinabhizimusi muSouth Africa neZimbabwe, VaBrighton Sangore, vanoti mashoko akadai anobata zvizvarwa zvisiri zvemuSouth Africa, agara achitaurwa kwenguva yakareba muSouth Africa. Sachigaro weHuman Rights Watch kuchamhembe kweAfrica, VaDewa Mavhinga, vanoti mashoko akadai haafanirwe kunge achibva pamuromo pemunhu anonyarikana saVaMakhura. VaMavhinga vanoti mashoko aVaMakhura anotyora kodzero dzevanhu uye handicho chaive chido chevaimbove mutungamiri weSouth Africa, mushakabvu Nelson Mandela. Sachigaro wesangano reZimbabwe Exiles Forum, VaGabriel Shumba, vanotiwo mashoko aVaMakhura anotyora mitemo yenyika, iyo isina rusarura pakuvambwa kwemabhizinesi. VaShumba vanoti kana vekunze vachivhura mabhizimusi muSouth Africa, vanenge vachibatsira kusimudzira hupfumi hwenyika iyi. VaShumba vanoti VaMakhura vanofanirwa kukumbira ruregerero kuzvizvarwa zvose zvekune dzimwe nyika zviri muSouth Africa. VaShumba vanoti sangano reZimbabwe Exiles Forum riri kuita hurukuro nemamwe masangano akasiyanasiyana, senzira yekugadzirisa matambudziko akatarisana nezvizvarwa zveZimbabwe zviri muSouth Africa. Mashoko aVaMakhura anouya mushure mokunge zvitoro zvezvizvarwa zvekunze kweSouth Africa zvapazwa nekupiswa, ukuwo vatyairi vemagonyeti vachimbunyikidzwa kodzero dzavo, vamwe vachimanikidzwa kusiya basa nesangano rinozviti All Truck Drivers Foundation. Sangano reHuman Rights Watch rinoti vanhu mazana maviri vafa mumhirizhonga yemuSouth Africa kubva muna Kurume gore rapera, vazhinji vavo vari vatyairi vanobva kune dzimwe nyika. No media source currently available 
