category	headline	text	url
health	Bakonzi ya Etats-Unis basengi bakolo basala ba stocks mpo na coronavirus	"Bakonzi ya bokolongono ya Etats-Unis basengi na bato basi bakoli na mibu kosala ba stocks ya bileyi mpe ya nkisi (mino) mpe komibongisa na ntina ya kovanda na ndaku mpo na coronavirus. ""Bosala ete ba stocks ezala, mingi penza mpo na mino (nkisi) ya tension artérielle mpe ya diabète, mpe mino misusu bato baselaka mpo kosunga ntango ya fevele mpe ba symptômes misusu,"" elobi Nancy Messonier, mokambi ya ba CDC (Centres américains ya contrôle ya bokolongono mpe ya prevention ya maladi). ""Bozala na ba biloko ya kosalela na ndako (prodtuis menagers) mpe ba provisions mpo na komibongisa soki bokovanda na ndako mpo na mwa ntango,"" ebakisi, Mme Messomier. Mikano miye mipesami kolanda étude esalamaki likolo ya bakoni 70.000 na Chine, eye elakisi ete bakolo bazali kati na 15 na 20% ya baye bokweyaka mpenza maladi. Banda mibu 60, likama ya kozwa bokono lizali mingi mpe likomaka makasi soki mibu mibakisami, elimboli Mme Messonnier. "	https://www.voalingala.com/a/bakonzi-ya-etats-unis-basengi-bakolo-basala-ba-stocks-mpo-na-coronavirus/5321513.html
business	FMI elobi kokitisa budget ezali malamu	"FMI (Fonds monétaire international) etalisi kobanga na yango lolenge bosaleli budget ya RDC ezali kokende mpe ekanisi ete ekozala malamu kokitisa budget. ""Lolenge budget esalelami kino kati kati ya sanza ya février ezali kopesa bobangi likolo ya bozito etiyami likolo ya ba dépenses mpe mpo na faible perfomance ya ba recettes,"" ekomi na liyebisi motalisi elongi ya FMI na RDC. Bozito yango ""bomemi bodefi mbongo na banque centrale mpe libulu kati ya ba réserves internationales ya BCC (Banque centrale ya Congo),"" eyebisi lipinga ya FMI. FMI esengi bakonzi ya RDC kotika kodefa misolo na BCC mpe kozongisa miye mizwamaki. Mpo na FMI, plan ya trésorerie ministre oyo Finances abimisaki na février ezali réaliste (malamu). Plan yango elobaki mosolo mokoti moke mpe esengeli l’Etat esalela kaka 5,45 milliards $. Kolanda mobeko ya finances ya 2020, budget ezali ya 10,59 milliards $ mpo na population ya pene na 80 millions ya bato, 2/3 babikaka na pene na dollars mibale na mokolo."	https://www.voalingala.com/a/fmi-elobi-kokitisa-budget-ezali-malamu/5305751.html
health	Bituma na Ebola bitelemi na Beni	"Botelemeli ya bavandi ya Beni mpe Butembo mpo na bobomami na bango na maboko ya ba ADF botindi misala ya kobundisa Ebola mitelema na bisika biye. ""Misala na biso minso ya kolamusa bato, mangwele, bokundi bibembe na bokengi, etc mitelemisami kasi ozali nanu awa,"" eyebisi mokambi ya bitumba biango, Dr. Jean-Jacques Muyembe. Vendredi, mikolo misato mikoki, bavandi ya Beni mpe Butembo bazali kolakisa kanda na bango mpo bobomami ya bayike na bango na ba ADF ata Monusco (Mission ya ONU) ezali wana mpe mampinga ya RDC mazali kosala misala ya kobengana batomboki baye. Police ebetaki gaz lacrymogène mpe masasi likolo mpo kobengana baye bazalaki kotelemela base ta ba casques bleus ya Monusco na nzela ya bokoti Beni. Bavandi bazali kolela ete ba ADF babomi bato tuku motoba wuto sanza ya zomi na moko ebandaki. Nzokande bopesi mangwele bozali kokoba bisika bisusu. Mangwele ma mibale mazali kopesama wuto mposo mibale. Koleka bato 373 basili kozwa yango. Dr. Muyembe ye moko mpe azwi yango.     "	https://www.voalingala.com/a/bituma-na-ebola-bitelemi-na-beni/5177379.html
health	Tshisekedi azuwi bokambi ya bitumba na Ebola na maboko	"Président Félix Tshisekedi akutani na Cité ya Union africaine na Kinshasa, na misala (équipe) ya banganga ya boyebi (experts) eye atiye mpo na kobundisa bokono ya Ebola, kolanda présidence ya RDC. Nzonkande, Félix Tshisekedi asakoli na liyebisi ete ye moko nde akokamba banda lelo bitumba na épidémie ya Ebola, bokono boye bosili kobama koleka bato 1.700 na sanza zomi bozali kongala na monyele (Est) ya Congo démocratique. Na moto ya bitumba boye, M. Tshisekedi atieyi Dr. Jean-Jacques Muyembe, mokambi ya INRB (Institut national de recherche biomédicale), oyo ayebani mpo kosunga kosilisa ba épidémies ya Ebola bileka). ""Mokambi ya ekolo na misala ya banganga ya boyebi batali ndenge nini makambo mazalaki kosalama na koyebaka ete OMS (Mabongisami ya molongo ya bokolongono) maye masakoli ete Ebola ezali bosengi ya lombango ya molongo mpo na bokolongono,"" eyebisi présidence ya Congo démocratique. "	https://www.voalingala.com/a/tshisekedi-azuwi-bokambi-ya-bitumba-na-ebola-na-maboko/5008625.html
politics	Mosambeli ya français ya Vital Kamerhe alobi RDC eboyi kopesa ye visa mpo na procès	"Mosambeli ya Vital Kamerhe, ya ekolo France, batonnier Pierre-Olivier Sur alobi ete ambassade ya RDC na France epimeli ye visa mpo na procès eye ezongeli na Kinshasa wuto mposo moleki na Cour d'appel, na boloko bonene ya Makala, CPRK na Kinshasa. Me pierre-Olivier Sur alobi na liyebisi ete bakonzi ba Ekolo Congo démocratique bayonoli ye ete boyokani bozali te kati na France na RDC mpo na kotika basembali ya France bakende kosambela na nabele ma Congo. Mpo na ye bakonzi ya RDC bapesi mokongo na bitumba ya bakambi babunda makasi wuto ntango ya noko. ""Na sengaki ye (Chargé d’affaires ya ambassade ya RDC na France) atuna ba bâtonniers ya Nord-Kivu mpe Sud-Kivu, baye na yambaki na bondeko bonso ntango ya bâtonnat na ngai na 2015 na Paris, mpo na kokoba boyokani boye,"" ekomi Me Sur. Mpo na Me Sur, ezali bozongi bosembo (non-droit) mpe bokweyisami -na nzela ya bosembo- ya ekolo enene ya Afrika. Bazuzi bapusaki bosambisami ya kozongela ya Vital Kamerhe le 7 aout."	https://www.voalingala.com/a/mosambeli-ya-fran%C3%A7ais-ya-vital-kamerhe-alobi-rdc-eboyi-kopesa-ye-visa-mpo-na-proc%C3%A8s/5525475.html
health	Trump apameli OMS mpo na kokamba malamu te bitumba na COVID-19	"Président Trump apameli OMS (Organistaion mondiale ya Santé) mpo na lolenge ya mabe ya kokamba bitumba na COVID-19, mpe mpo na mabunga mamemi kofua mingi. ""OMS esali mabunga minga mingi. Kasi, ya kokamwa, USA nde epesaka yango misolo koleka nzokande yango ezali kotalela mingi Chine. Tokolandela yango makasi banda lelo,"" ekomi mokonzi ya Etats-Unis na Twitter. ""Malamu ndenge nabwakisaki malako ma yango ma yambo ya kotika ndelo na biso ya kofungwama na Chine. Mpo na nini bapesaki malako ma boye ?"" emituni M. Trump. OMS elobaki yambo ete bato basengeli balata masques te, kaka bakoni mpe baminganga, kasi balukiluki bamoni ete Etats-Unis ekomi na bakoni mingi mpo bato bazipaka zolo na monoko te na ba masques. Na Chine mpe Corée bato balataka masques mpe bayebi nakolonga COVID-19. Yango etindi balukiluki kokanisa ete kolata masque te ezali mbeba baye ya Amerika basali. Bato 391,632 bayebani kozwama na COVID-19 na Etats-Unis. 12.558 bakufi mpe 21.561 babikisami. Etats-Unis nde ekolo ebetami makasi koleka na COVID-19 na molongo mobimba. Mpe mingi na baye bakufi mpe bazwi yango bazali bayindo."	https://www.voalingala.com/a/trump-apameli-oms-mpo-na-kokamba-malamu-te-bitumba-na-covid-19/5363911.html
politics	Policier azwi etumbu ya liwa mpo na koboma mokumbi tukutuku na Kinshasa	Tribunal ya garnison ya Gombe ekateli Jean-Bosco Kalambayi Kayembe etumbu ya liwa mpo na koboma mokumbi tukutuku o’mokolo mwa yambo ya mposo. Misala ya bosembo misambisaki ye na lolelnge ya lombango na boulevard Triomphal na Kasa-Vubu. Mokambi ya police ya Kinshasa, Commissaire divisionaire Sylvano Kasongo ayebisaki VOA Lingala ete etumbu ekopesama, ekozala ndakisa mpo ba pulusu basusu. Mikolo misato milandamaki uto lundi, ba civils basato bakufaki na masasi ya ba policiers. Bakumbi tukutuku babale, lundi na mardi; mpe mokambi ya lopitalo Vijana, mercredi. Na bosambisami boye, policier Kalambayi azwi mpe lisusu etumbu ya kofuta misolo 100.000 ya ba dollars US mpo na mbeba. Policier mosusu, Ilunga Mwamba atikami. Etumbu ya liwa epemisama na mobeko ya RDC uto 2003. Ebongolamaka na boloko ya seko.	https://www.voalingala.com/a/policier-azwi-etumbu-ya-liwa-mpo-na-koboma-mokumbi-tukutuku-na-kinshasa/5147488.html
politics	Tshisekedi akomi na Nairobi mpo na bokutani ya ACP	"Président Félix Tshisekedi akomi na Nairobi, na Kenya epayi wapi akozala na bokutani ya libwa ya bakambi ya bikolo ACP (Afrique Caraïbes Pacifique). Likita liye likombanda le 9 kino le 10 ya sanza ya zomi na mibale, eye. Mama na likambo na likita mazali ""ACP moko eye ebongwana emitiya na nzela ya multilatéralisme"". Félix Tshisekedi akozwa maloba nsima na nzanga, kolanda limpati lipesami na mokokani mwa ye Uhuru Kenyatta ya Kenya. ACP ekelama na 1975 mpe Félix Tshisekedi azali mokonzi ya yambo ya RDC kozala na bokutani ya lisanga yango. Mokonzi ekolo Congo démocratique awutaki na Kigali, na Rwanda epayi wapi akomaki lobi mokolo mwa eyenga. Azwaki maloba na bokutani ya masolo mabengami Kusi Ideas Festival. Kuna Président Félix Tshisekedi alobaki ete emoniseli na ye etongami likolo na moto. Yango nde ntina azali kosala makasi mpo été démocratie ekola, yango mpe ntina atiye kelasi ya nse ofele mpe azali kosala makasi mpo été bokolongono mpe bokoma ofele, esakolaki Félix Tshisekedi."	https://www.voalingala.com/a/tshisekedi-akomi-na-nairobi-mpo-na-bokutani-ya-acp/5198469.html
health	COVID-19: Dr. Mukwege alobi bana ya Afrika basalela makoki ya mboka na bango	Dr. Denis Mukwege, prix Nobel ya kimya na 2018 mpo na kobongisa basi babebisa na makasi, asengi bana ya Afrika koselala makoki ya mboka na bango na bitumba na COVID-19. Kino sik’oyo Afrika ezwi ngolu mingi. Soki coronavirus ebetaki yango makasi lokola na Chine, Poto (Europe) to Etats-Unis, elingakaki ezala mpasi ya monene, elobi Dr. Mukwege na conference en ligne, Dr. Mukwege azali mokambi ya bitumba na COVID-19 na etuka ya Sud-Kivu, esika wapi bato 6 bayebani kozwama na bokono boye. Mibale basi babikisami. Asengi batiela Sud-Kivu mpe laboratoire ya kotester babeli na COVID-19. Dr. Mukwege abeti sete likolo na litomba ya kosalela makoki mazwami na mboka moko moko. Afrika elekisi motango ya bato nkoto moko ya baye bakufi mpe 20.000 ya baye bayebani kozwama na COVID-19. Na bisika mingi babola babandi kotelemela bokangami na ndako. 80% ya bana ya RDC na babikaka na secteur informel. Mpo na Dr. Mukwege, kovandisa bato na ndako na makasi ekosimba te. Na Sénégal, police ekangi bilenge 74 na quartier populaire moko ya Dakar mpo batosaki couvre te. Na Kinshasa, engumba mokinzi ya RDC, police ekokanga mpe kofutisa 1.500 Francs congolais (pene ba 1$) moto nyonso akozwama kati bato ebele na bozangi masque. Mbulamatari esengi bato banso kosala masque bango moko soki bakoki te kosomba. Na Malawi, bavandi basilikaki mingi mpe misala ya bosembo milongi mokano ya kovanda na ndako. Na Afrique du Sud bavandi ya Alexandra na Jhannesburg bakita o’balabala lobi loleki mpo na bozangi pole na bokaboli bilei ya mbulamatari. Na Cap, baiike bapunzaki. Président Cyril Ramaphosa esengeli alimbola na mpoka mikano ya kokitisa mpasi ya bato ntango ya kokangama na ndako.	https://www.voalingala.com/a/covid-19-dr-mukwege-alobi-bana-ya-afrika-basalela-makoki-ya-mboka-na-bango/5383838.html
health	Gouvernement ememi baye bazokaki na likama ya Lufu na Clinique Ngaliema	"Baye banso bazokaki o’mokolo ya eyenga na likama ya Lufu, na etuka ya Kongo central, bamemami na Kinshasa, eyebisi ministre ya bosalisani mpe bondeko, Steve Mbikayi. ""Premier ministre antindaki na Banza Ngungu. Namemaki lisungi na baye banso bazwaki mpasi na likama liye. Kutu na memaki bango banso na Kinshasa butu boleki na Kinshasa, natiki bango banso na clinique Ngaliema mpe mbulamatari nde ekofuta mosolo monso,"" eyebisi ministre Steve Mbikayi nsima na bobimi na bokutani na Premier ministre Sylvestre Ilunga Ilunkamba. M. Mbikayi alobi ete mbulamatari etindaki ye na Mbanza Ngungu ba cliniques mobiles misato mpo na komema bato ya likama yango elongo na nzoto ya bawei. Mpo na M. Mbikayi, mbulamatari ekosomba sanduku ya bokundi mpo baye banso bakufaki lokola mingi kati na bango bawutaki Kinshasa. Bus yango, ya marque Tata esalaki likama na butu ya samedi na dimanche na bokutani ya route N0 1 na nzela ya nkamba, na Lufu. Président Félix Tshisekedi akitaki na esika yango lundi mpe alakaki kosunga bato banso bazwaki likama. Bato 31 bafuki na likama yango, mingi nzoto na bango ezikaki. Zomi nde na mwambe bazokaki, bayike na mpota enene mpe bakotaki na lopitalo ya Nsona-Nkulu, na Mbaza Ngungu. Motuka yango emema bato na biloko, mingi mpeza carburant. Boko na bato bazokaki balobi mécanicien nde azalaki komema motuka ntango likama lyango lisalamaki."	https://www.voalingala.com/a/gouvernement-ememi-baye-bazokaki-na-likama-ya-lufu-na-clinique-ngaliema/5134990.html
