 ,en_review,yo_review,yo_mt_review,rating,sentiment
1,"Beautiful acting, beautiful directing, not so great story
I had to open an account just to review this movie. This is a beautiful work of art.
","Eré ṣíṣe tó fakọyọ, ìdarí tó fi òye hàn ṣùgbọ́n ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí. 
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ yìí rẹwà púpọ̀. ","Iṣẹ iṣe ti o lẹwa, itọsọna ẹlẹwa, kii ṣe itan nla pupọ
Mo ni lati ṣii akọọlẹ kan lati ṣe atunyẹwo fiimu yii. Eyi jẹ iṣẹ ọna ti o lẹwa.",7,positive
2,"Good movie, would love to see a continuation of this movie.",Eré gidi tí màá fẹ́ láti rí ìtẹ̀síwájú rẹ̀ ni eré yìí jẹ́. ,"Fiimu ti o dara, yoo nifẹ lati rii itesiwaju fiimu yii.",7,positive
3,"One thing I like about the movie is the way the story was told and the ways the actors interpreted it. The writers, directors and cinematographers deserve an applaud for this effort. ","Nǹkan kan tí ó mo fẹ́ràn nínú eré yìí ni bí a ṣe sọ ìtàn rẹ̀ àti bí àwọn òṣèré ṣe túmọ̀ rẹ̀. Ó yẹ kí a gbé oríyìn fún àwọn òǹkọ̀tàn, olùdarí, àti àwọn a yàwòrán fún làálàá wọn lórí iṣẹ́ yìí. ","Ohun kan ti Mo nifẹ si fiimu naa ni ọna ti itan naa ṣe sọ ati awọn ọna ti awọn oṣere ṣe tumọ rẹ. Awọn onkọwe, awọn oludari ati awọn oniṣere sinima tọsi iyìn fun akitiyan yii.",7,positive
4,If you enjoyed the Godfather then you'll enjoy this. The storyline was beautiful and the plot twist at the end was incredible but there was some very unrealistic scenes that prove to be plot holes. But all in all the plot is very solid.,"Tí o bá gbádùn ""Godfather"", a jẹ́ pé wà á gbádùn èyí. Ìtàn eré náà rẹwà bẹẹni ẹ̀hun rẹ̀ pàápàá lọ́wọ́ ẹ̀yìn wúni lórí jọjọ ṣùgbọ́n àwọn abala kan wà tí kò lè ṣẹlẹ̀ lójú ayé. Èyí sì ni àléébù tí eré yìí ni. Àmọ́ ju gbogbo rẹ̀ lọ àhunpọ̀ itan yìí fakíki. ",Ti o ba gbadun Baba Ọlọrun lẹhinna o yoo gbadun eyi. Itan-akọọlẹ naa lẹwa ati pe idite ni ipari jẹ iyalẹnu ṣugbọn awọn iwoye ti ko daju pupọ wa ti o jẹri pe o jẹ awọn iho Idite. Ṣugbọn gbogbo ni gbogbo awọn Idite jẹ gidigidi ri to.,7,positive
5,On a Nollywood scale I'll give this movie an 9 because of it's unique storyline and excellent production which sets it aside from other Nigerian movies,"Màá fún ere yìí ni ẹẹ́sàn an lórí òṣùwọ̀n Nollywood nítorí ìtàn ere náà jẹ àrà ọ̀tọ, bẹ́ẹni àgbéjáde rẹ̀ tó jẹ́ kó yàtọ̀ sí gbogbo àwọn eré àgbéléwò yòókù ni ilẹ̀ Nàìjíríà ",Ni iwọn Nollywood Emi yoo fun fiimu yii ni 9 nitori itan-akọọlẹ alailẹgbẹ rẹ ati iṣelọpọ to dara julọ eyiti o ya sọtọ si awọn fiimu Naijiria miiran,7,positive
6,This movie was recomended to me by my wife. it's a good overal production with some very good acting and production design. ,Ìyàwó mi ló sọ fún mi nípa ere yìí. Ere gidi tí a fi ọgbọ́n sàgbékalẹ̀ rẹ ni. Àwọn akópa ṣeré náà dáadáa bẹ́ẹ̀ sì ni àgbéjáde rẹ wuyì. ,Fiimu yii ni iyawo mi gba mi niyanju. o jẹ iṣelọpọ gbogbogbo ti o dara pẹlu iṣe iṣe ti o dara pupọ ati apẹrẹ iṣelọpọ.,7,positive
7,"Beautiful acting, beautiful directing, not so great story
I had to open an account just to review this movie. This is a beautiful work of art.
","Eré ṣíṣe tó fakọyọ, ìdarí tó fi òye hàn ṣùgbọ́n ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí. 
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ yìí rẹwà púpọ̀.","Iṣẹ iṣe ti o lẹwa, itọsọna ẹlẹwa, kii ṣe itan nla pupọ
Mo ni lati ṣii akọọlẹ kan lati ṣe atunyẹwo fiimu yii. Eyi jẹ iṣẹ ọna ti o lẹwa.",7,positive
8,"Still one of the Best Nigerian films of 2017
Isoken is a great film showcasing the culture of the area of the country. The layout, filming, colors and dressing tell much of the tradition quite well. The film has quite a good inject of laughter and great acting.
","Ọ̀kan lára fíìmù tí a ṣe tó dára jù ni ọdún 2017 ni “Isoken”. Ere yìí sàfihàn àṣà tó wà ní agbègbè orílè-èdè tí a ti se é jáde. Àlàkalẹ̀ eré naa ati, ìgbàwòran jáde, àti àwọ̀ àti aṣọ ló se àfihàn àṣà ìbílẹ̀ ni. Ère yìí tún ní ọ̀kan ò jọ̀kan abala ti tó lè pa ènìyàn lẹrin ín. ","Ṣi ọkan ninu awọn fiimu Naijiria to dara julọ ti ọdun 2017
Isoken jẹ fiimu nla kan ti o nfihan aṣa ti agbegbe ti orilẹ-ede naa. Ifilelẹ, yiyaworan, awọn awọ ati imura sọ pupọ ti aṣa naa daradara. Awọn fiimu ni o ni oyimbo kan ti o dara abẹrẹ ti ẹrín ati nla osere.",7,positive
9,"Great movie, great acting. would be nice to see a part 2 of it.",Gbogbo abala ere yìí ló dára. Ìbá dára tí a bá lè rí apá kejì rẹ̀. ,"Fiimu nla, iṣere nla. yoo jẹ dara lati ri apa kan 2 ti o.",7,positive
10,"Hardly was there a period of 5 minute in this movie with nothing to smile, chuckle or laugh about. I don't think there is a Nigerian movie that beats this in it's genre (Fictional Comedy). The movie effects were as well commendable.",Tipátipá ni a fi lè rí ojú ìṣẹ́jú márùn-ún tí kò pa ènìyàn lẹ́rìn-ín. N kò rò pé ere àgbéléwò kankan wà ní Nàìjíríà tó lè borí fíìmù yìí. Iṣẹ́ eré yìí kúnjú òṣùwọ̀n.,"O fee wa nibẹ akoko kan ti iṣẹju 5 ni fiimu yii laisi nkankan lati rẹrin musẹ, chuckle tabi rẹrin nipa. Mi o ro pe fiimu Naijiria kan wa ti o lu eyi ni oriṣi rẹ (Fictional Comedy). Awọn ipa fiimu naa jẹ iyìn daradara.",7,positive
11,"I liked it, I enjoyed myself, it was not a master piece, but a nice watch. Well done.","Mo fẹ́ràn ere yìí. Mo gbádùn ara mi dáadáa bí ó tilẹ̀ jẹ́ pé ó ní àwọn àléébù díẹ̀, ó sì dára láti wò.","Mo nifẹ rẹ, Mo gbadun ara mi, kii ṣe nkan titunto si, ṣugbọn aago to wuyi. Kú isé.",7,positive
12,fun movie,Eré àgbéléwò onígbàdún uǹ,fun movie,7,positive
13,Best of the best,Èyí tó dára jùlọ,Ti o dara ju ti o dara julọ,7,positive
14,"Very good, if not wholly fulfilling.","Ó dára gan-an ni, ó fẹ́rẹ̀ jẹ́ pé gbogbo abala ere náà ló gbádùn.","O dara pupọ, ti ko ba ni imuse patapata.",7,positive
15,"In a movie which seems like it should have been a mini-series, we follow a relationship, which grows into a family, over the course of 20 years in Nigeria.","Nínú eré tó dàbí eni ti o tó yẹ kó jẹ́ ere tí à ń sáfihàn rẹ̀ díẹ̀díẹ̀, a rí ìbáṣepọ̀ lásán to sì tẹ̀síwájú di ẹbí láàrin ọkùnrin àti obìnrin.","Ninu fiimu kan ti o dabi pe o yẹ ki o jẹ jara kekere kan, a tẹle ibatan kan, eyiti o dagba si idile kan, laarin 20 ọdun ni Nigeria.",7,positive
16,Not my type of movie but my type of actors,"Bí ó tilẹ̀ jẹ́ pé kì í ṣe irú fíìmù tí mo fẹ́ràn, àwọn òṣèré tí mo fẹ́ràn ló ṣe é.",Kii ṣe iru fiimu mi ṣugbọn iru awọn oṣere mi,7,positive
