id,sentence_id,text,category,preannotation,created_at,updated_at,user
141,No sequence ID (upload ID: 19664),"በኢትዮጵያ መንግሥትና በትግራይ አመራሮች መካከል ንግግር መቀጠሉን ተመድ አስታወቀ. 
    በኢትዮጵያ መንግሥት እና በትግራይ አመራሮች መካከል ያለው ውይይት መቀጠሉን የተባበሩት መንግሥታት ድርጅት አስታወቀ የተባበሩት መንግሥታት ድርጅት ምክትል ዋና ፀሐፊ አሚና መሐመድ አዲስ አበባ ውስጥ ዛሬ ረቡዕ የካቲት 02/2014 ዓ.ም ከጋዜጠኞች ጋር በነበራቸው ቆይታ ነው ይህንን የተናገሩት...",politics,No preannotation,2023-01-05 00:23:47.523944+00:00,2023-01-05 00:23:47.523971+00:00,yonasgebeyaw1990
142,No sequence ID (upload ID: 19665),"ኮሮናቫይረስ ፡ ባንነካካ፣ ባንተቃቀፍ፣ ባንሳሳም በጤናችን ላይ የሚጎድል ነገር ይኖር ይሆን?. 
    ያለፈው የፈረንጆች ዓመት በጥቅሉ ካየነው መልካም ዓመት አልነበረም አራራቀን እንጂ አላቀራረበንም...",health,No preannotation,2023-01-05 00:23:58.494424+00:00,2023-01-05 00:23:58.494450+00:00,yonasgebeyaw1990
143,No sequence ID (upload ID: 19666),"በኢትዮጵያ በሺህ የሚቆጠሩ ሐኪሞች ለምን ሥራ አጥ ሆኑ?. 
    ከሦስት ዓመት በፊት በርካታ የኢትዮጵያ ሐኪሞች ሰልፍ ወጡ ደመወዛችን ይጨመር፣ የሚደርስብን የመብት ጥሰት ይገታ፣ የሕክምና ሥርዓቱ ይሻሻል፣ የሕክምና መስጫ ቁሳቁሶች ይሟሉ ከጥያቄዎቻቸው ጥቂቱ ናቸው...",health,No preannotation,2023-01-05 00:24:13.106363+00:00,2023-01-05 00:24:13.106392+00:00,yonasgebeyaw1990
144,No sequence ID (upload ID: 19667),"በሱዳን የሚገኙ የትግራይ ተወላጅ ሰላም አስከባሪዎች ወደ ኢትዮጵያ አንመለስም አሉ. 
    በሱዳን የሚገኙ በመቶዎች የሚቆጠሩ የትግራይ ተወላጅ የተባበሩት መንግሥታት ድርጅት የሰላም አስከባሪ ኃይሎች ወደ ኢትዮጵያ አንመለስም ማለታቸውን ኤኤፍፒ የዜና ወኪል ዘገበ እንደ ዘገባው ከሆነ የሰላም አስከባሪዎቹ ለመመለስ ፍቃደኛ ያልሆኑት ለደህንነታቸው በመስጋት ነው...",politics,No preannotation,2023-01-05 00:24:21.938553+00:00,2023-01-05 00:24:21.938582+00:00,yonasgebeyaw1990
145,No sequence ID (upload ID: 19668),"ትራምፕ ለመጨረሻ ጊዜ ዋይት ሃውስን ተሰናብተው ወጡ. 
    የተመራጩ ፕሬዚዳንት ጆ ባይደን በዓለ ሲመት ሊፈፀም በተቃረበበት በአሁኑ ወቅት ተሰናባቹ ፕሬዚዳንት ዶናልድ ትራምፕ ዋይት ሃውስን ተሰናብተው ወጥተዋል ለአራት አመት ከኖሩበት ቤተ መንግሥትም በሄሊኮፕተር በመሳፈር አቅራቢያው ወዳለው አንድሪውስ የሚባል ስፍራ ደርሰዋል...",politics,No preannotation,2023-01-05 00:24:25.522449+00:00,2023-01-05 00:24:25.522479+00:00,yonasgebeyaw1990
147,No sequence ID (upload ID: 19670),"በትግራይ ያለው የረሃብ አደጋ እና የመድኃኒት እጥረት. 
    ህይወት በርኸ ባለትዳርና የሦስት ልጆች እናት ነች ሁለቱን ልጆቿን ስታሳድግ ምንም ዓይነት የጤና እክል ገጥሟቸው አያውቅም...",health,No preannotation,2023-01-05 00:24:54.292514+00:00,2023-01-05 00:24:54.292542+00:00,yonasgebeyaw1990
148,No sequence ID (upload ID: 19671),"በኮሮናቫይረስ ዘመን ቤት ተዘግቶ መዋል እርግዝናን እንደቀነሰ ጥናት አመለከተ. 
    በኮሮናቫይረስ ጊዜ ቤት ተዘግቶ መዋል የወሊድ ምጣኔን እንደቀነሰ አንድ ጥናት አመለከተ በአውሮፓ ኮሮናቫይረስ ያስከተለው ቤት ተቀምጦ መዋል እርግዝና እንዲጨምር አላደረገም ተባሏል...",health,No preannotation,2023-01-05 00:24:59.580123+00:00,2023-01-05 00:24:59.580153+00:00,yonasgebeyaw1990
150,No sequence ID (upload ID: 19672),"በሰመራ ታስረው የነበሩ በሺዎች የሚቆጠሩ የትግራይ ተወላጆች ተለቀቁ. 
    ወደ ዘጠኝ ሺህ የሚጠጉ እና በአፋር ክልል መዲና ሰመራ ውስጥ ታስረው የነበሩ በሺዎች የሚቆጠሩ የትግራይ ተወላጆች መለቀቃቸውን ለቢቢሲ ተናገሩ ሰመራ ውስጥ በሚገኝ የማቆያ ካምፕ ውስጥ ያለፈቃዳቸው ተይዘው ከነበሩት መካከል የተወሰኑት በአውቶብሶች እና የደረቅ ጭነት መኪኖች ተሳፍረው ወደ ቀደመ መኖሪያቸው እየተወሰዱ እንደሆነ ትናንት ነሐሴ 10/2014 ዓ.ም. ለቢቢሲ ገልጸዋል...",politics,No preannotation,2023-01-05 00:25:03.449564+00:00,2023-01-05 00:25:03.449595+00:00,yonasgebeyaw1990
151,No sequence ID (upload ID: 19673),"በኮቪድ-19 ምክንያት በክትባቶች ስለተስጓጎሉ በቀን 6 ሺህ ሕጻናት ይሞታሉ. 
    ከኮቪድ-19 ወረርሽኝ ወዲህ በሚሊዮን የሚቆጠሩ ሕጻናት ሊሞቱ ይችላሉ የሚሞቱት ታዲያ በኮሮናቫይረስ አይደለም...",health,No preannotation,2023-01-05 00:25:06.285270+00:00,2023-01-05 00:25:06.285299+00:00,yonasgebeyaw1990
152,No sequence ID (upload ID: 19674),"በፓሪስ ዝግ ያለው አስተናጋጅ በጥይት ተገደለ. 
    በፈረንሳይዋ መዲና ፓሪስ አካባቢ በምትገኝ ቦታ ሳንድዊች እንዲያመጣ የታዘዘ አስተናጋጅ በፍጥነት አላመጣም በሚል የተናደደ ደንበኛ በጥይት ተኩሶ ገድሎታል ግድያው የተከሰተው አርብ እለት በምስራቃዊዋ ፓሪስ በምትገኘው ኖይሲ ለ ግራንድ ፣ ፒዛና ሳንድዊች መሸጫ ቦታ ነው...",politics,No preannotation,2023-01-05 00:25:10.804659+00:00,2023-01-05 00:25:10.804688+00:00,yonasgebeyaw1990
